user,file,modality,activity,session,attempt,rep,kind,n_rows,fs_est,mag_zero_ratio
userC,inertial_walking_s1_att4.csv,inertial,walking,1,4,,,114542,46.58108615878271,0.0
userC,inertial_walking_s1_att5.csv,inertial,walking,1,5,,,16552,9.781549112744038,0.0
userC,inertial_walking_s1_att6.csv,inertial,walking,1,6,,,40575,18.06490841997417,0.0
userC,inertial_walking_s1_att7.csv,inertial,walking,1,7,,,77576,25.946785356170345,0.0
userC,keystroke_s1_r1.csv,keystroke,,1,,1,,213,,
userC,keystroke_s1_r2.csv,keystroke,,1,,2,,117,,
userD,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,56769,47.77177113514216,0.0
userD,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,106033,41.15079113968486,0.0
userD,inertial_sitting_s1_att3.csv,inertial,sitting,1,3,,,119892,28.40119091874064,0.0
userD,inertial_sitting_s1_att4.csv,inertial,sitting,1,4,,,198936,31.937846936307164,0.0
userD,inertial_sitting_s2_att1.csv,inertial,sitting,2,1,,,42654,16.019849734901474,0.0
userD,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,126245,29.010406285747564,0.0
userD,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,154085,29.519164152105585,0.0
userD,inertial_standing_s1_att3.csv,inertial,standing,1,3,,,198861,32.376664544416,0.0
userD,inertial_standing_s1_att4.csv,inertial,standing,1,4,,,201111,30.57548546402836,0.0
userD,inertial_standing_s1_att5.csv,inertial,standing,1,5,,,203124,30.541189710989194,0.0
userD,inertial_standing_s1_att6.csv,inertial,standing,1,6,,,211205,30.655145864862526,0.0
userD,inertial_standing_s1_att7.csv,inertial,standing,1,7,,,234019,31.61255070166434,0.0
userD,inertial_standing_s2_att1.csv,inertial,standing,2,1,,,16139,12.505334372821427,0.0
userD,inertial_standing_s2_att2.csv,inertial,standing,2,2,,,25625,11.354923630769981,0.0
userD,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,601,50.0,0.0
userD,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,1607,10.933891874103999,0.0
userD,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,2269,10.570045726314687,0.0
userD,inertial_walking_s1_att4.csv,inertial,walking,1,4,,,4315,15.785705351620322,0.0
userD,inertial_walking_s1_att5.csv,inertial,walking,1,5,,,56641,47.979959447781376,0.0
userD,inertial_walking_s1_att6.csv,inertial,walking,1,6,,,140327,28.819921046765764,0.0
userD,inertial_walking_s1_att7.csv,inertial,walking,1,7,,,152975,29.479458402917434,0.0
userD,inertial_walking_s2_att1.csv,inertial,walking,2,1,,,6715,49.99999978403336,0.0
userD,inertial_walking_s2_att2.csv,inertial,walking,2,2,,,10656,9.259811387941598,0.0
userD,keystroke_s1_r1.csv,keystroke,,1,,1,,387,,
userD,keystroke_s1_r2.csv,keystroke,,1,,2,,215,,
userD,keystroke_s2_r1.csv,keystroke,,2,,1,,36,,
userD,keystroke_s2_r2.csv,keystroke,,2,,2,,221,,
userE,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,22478,49.99999997731015,0.0
userE,inertial_sitting_s2_att1.csv,inertial,sitting,2,1,,,36208,49.46941988806607,0.0
userE,inertial_sitting_s3_r1.csv,inertial,sitting,3,,1,,31088,50.00000001833563,0.0
userE,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,59403,48.98180291861875,0.0
userE,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,19553,50.00000001086845,0.0
userE,inertial_walking_s2_att1.csv,inertial,walking,2,1,,,57756,48.9533747789865,0.0
userE,inertial_walking_s3_att1.csv,inertial,walking,3,1,,,30941,50.00000001842275,0.0
userE,keystroke_s1_att1_r1.csv,keystroke,,1,1,1,,34,,
userE,keystroke_s1_att1_r2.csv,keystroke,,1,1,2,,101,,
userF,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,33842,47.98926926726599,0.0
userF,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,42740,50.00000002181847,0.0
userF,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,19198,47.89002575892118,0.0
userF,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,42797,50.00000002178942,0.0
userF,inertial_standing_s1_att3.csv,inertial,standing,1,3,,,28178,50.00000000647691,0.0
userF,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,4373,50.000000174977124,0.0
userF,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,82184,50.000000021081,0.0
userF,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,2223,50.00000055243025,0.0
userF,inertial_walking_s1_att4.csv,inertial,walking,1,4,,,2977,49.99999984459005,0.0
userF,keystroke_s1_r1.csv,keystroke,,1,,1,,281,,
userF,keystroke_s1_r2.csv,keystroke,,1,,2,,186,,
userG,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,162148,18.225800032335986,0.0
userG,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,15832,28.755396702972487,0.0
userG,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,18289,30.40865782302178,0.0
userG,inertial_standing_s1_att3.csv,inertial,standing,1,3,,,75384,11.698833481244392,0.0
userG,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,4504,17.718106978861908,0.0
userG,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,72374,18.03167279914625,0.0
userG,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,5469,13.539034570289887,0.0
userG,inertial_walking_s1_att4.csv,inertial,walking,1,4,,,8591,3.64643197167614,0.0
userG,keystroke_s1_r1.csv,keystroke,,1,,1,,104,,
userG,keystroke_s1_r2.csv,keystroke,,1,,2,,90,,
userH,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,22501,41.715028152340274,0.0
userH,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,18928,49.80624169717071,0.0
userH,inertial_sitting_s1_att3.csv,inertial,sitting,1,3,,,92239,49.20931534155036,0.0
userH,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,15796,49.99999991911997,0.0
userH,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,12169,49.84168005949257,0.0
userH,inertial_standing_s1_att3.csv,inertial,standing,1,3,,,77083,49.10387448733135,0.0
userH,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,28640,40.55390727457898,0.0
userH,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,6135,50.00000063457778,0.0
userH,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,58677,50.00000010383291,0.0
userH,keystroke_r2.csv,keystroke,,,,2,,224,,
userI,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,209537,51.37961269056286,0.0
userI,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,148708,51.19596008925977,0.0
userI,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,89822,51.55658898928749,0.0
userI,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,31550,10.55679253329164,0.0
userI,keystroke_s1_r1.csv,keystroke,,1,,1,,219,,
userK,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,44659,49.864149111761684,0.0
userK,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,49827,49.22498442354689,0.0
userK,inertial_sitting_s1_att3.csv,inertial,sitting,1,3,,,127979,45.80664736294624,0.0
userK,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,44808,49.65483713969575,0.0
userK,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,91350,49.53875405085766,0.0
userK,inertial_standing_s1_att3.csv,inertial,standing,1,3,,,161700,42.89023875472494,0.0
userK,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,26744,49.95974917222872,0.0
userK,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,45454,49.38355618774719,0.0
userK,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,150640,42.470785859984254,0.0
userK,inertial_walking_s1_att4.csv,inertial,walking,1,4,,,205395,44.17717088668329,0.0
userK,inertial_walking_s1_att5.csv,inertial,walking,1,5,,,212291,43.84318173797084,0.0
userK,keystroke_s1_r1.csv,keystroke,,1,,1,,450,,
userK,keystroke_s1_r2.csv,keystroke,,1,,2,,412,,
userL,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,12412,31.05630042309022,0.0
userL,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,16832,33.6785111943647,0.0
userL,inertial_sitting_s2_att1.csv,inertial,sitting,2,1,,,40421,39.16381837035108,0.0
userL,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,53519,38.45313089646108,0.0
userL,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,58373,35.71449698523148,0.0
userL,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,1847,49.999830868665285,0.0
userL,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,57775,38.572469974281915,0.0
userL,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,58296,38.4758123445266,0.0
userL,keystroke_s1_r1.csv,keystroke,,1,,1,,68,,
userL,keystroke_s2_r1.csv,keystroke,,2,,1,,74,,
userL,keystroke_s2_r2.csv,keystroke,,2,,2,,61,,
userL,keystroke_s2_r3.csv,keystroke,,2,,3,,34,,
userM,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,15106,50.00000002763986,0.0
userM,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,16651,50.00000008318318,0.0
userM,inertial_sitting_s1_att3.csv,inertial,sitting,1,3,,,47341,49.72388101825482,0.0
userM,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,45329,34.96354764223615,0.0
userM,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,30192,41.27995891183802,0.0
userM,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,48585,49.82952353607703,0.0
userM,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,12200,50.00000005082384,0.0
userM,keystroke_s1_r1.csv,keystroke,,1,,1,,192,,
userM,keystroke_s1_r2.csv,keystroke,,1,,2,,167,,
userN,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,311,49.99975943664129,0.0
userN,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,23809,40.94931193827159,0.0
userN,inertial_sitting_s1_att3.csv,inertial,sitting,1,3,,,40762,49.99999939151396,0.0
userN,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,24577,36.539021075699964,0.0
userN,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,101890,31.392713997628494,0.0
userN,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,56692,30.59194520577316,0.0
userN,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,126003,18.367910958876447,0.0
userN,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,136317,19.224082016959564,0.0
userN,keystroke_s1_r1.csv,keystroke,,1,,1,,155,,
userN,keystroke_s1_r2.csv,keystroke,,1,,2,,114,,
userP,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,723,39.60612210320252,0.0
userP,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,638,50.0,0.0
userP,inertial_sitting_s1_att3.csv,inertial,sitting,1,3,,,223,32.851095426458194,0.0
userP,inertial_sitting_s1_att4.csv,inertial,sitting,1,4,,,20744,49.9999999648074,0.0
userP,inertial_sitting_s1_att5.csv,inertial,sitting,1,5,,,16956,47.59431855284155,0.0
userP,inertial_sitting_s1_att6.csv,inertial,sitting,1,6,,,7839,41.10120583434876,0.0
userP,inertial_sitting_s1_att7.csv,inertial,sitting,1,7,,,29929,29.7640337002217,0.0
userP,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,558,42.891778679072246,0.0
userP,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,31852,29.742047803511884,0.0
userP,inertial_standing_s1_att3.csv,inertial,standing,1,3,,,24038,32.26299172746326,0.0
userP,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,292,50.00000243986267,0.0
userP,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,46586,20.039629081680946,0.0
userP,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,34585,35.16015268232692,0.0
userP,inertial_walking_s1_att4.csv,inertial,walking,1,4,,,24279,27.201970458117096,0.0
userP,keystroke_s1_r1.csv,keystroke,,1,,1,,71,,
userP,keystroke_s1_r2.csv,keystroke,,1,,2,,182,,
userQ,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,111383,1.7844452229301118,0.0
userQ,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,133521,2.1199544510928283,0.0
userQ,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,135445,2.14907331305318,0.0
userQ,keystroke_s1_att1_r1.csv,keystroke,,1,1,1,,272,,
userQ,keystroke_s1_att1_r2.csv,keystroke,,1,1,2,,271,,
